Plot_ID;Plot;Type;System;Position;Depth;Species;Wet_Weight;Dry_Weight;Ratio;Productivity 
45_IC_OP_M;45;OP;PERO;M;10;Herba;0,0094;0,0014;0,149;0,0146
45_IC_OP_M;45;OP;PERO;M;10;Herba;0,0045;0,0018;0,400;0,0187
45_IC_OP_M;45;OP;PERO;M;10;Herba;0,0245;0,0041;0,167;0,0426
45_IC_OP_M;45;OP;PERO;M;10;Herba;0,0403;0,0098;0,243;0,1019
45_IC_OP_M;45;OP;PERO;M;10;Herba;0,0508;0,0115;0,226;0,1195
45_IC_OP_M;45;OP;PERO;M;10;Oil Palm;0;0;;0,0000
45_IC_OP_M;45;OP;PERO;M;10;Oil Palm;0,0004;0,0001;0,250;0,0010
45_IC_OP_M;45;OP;PERO;M;10;Oil Palm;0,0045;0,0015;0,333;0,0156
45_IC_OP_M;45;OP;PERO;M;10;Oil Palm;0,0088;0,0032;0,364;0,0333
45_IC_OP_M;45;OP;PERO;M;10;Oil Palm;0,0071;0,0036;0,507;0,0374
45_IC_OP_M;45;OP;PERO;M;10;Oil Palm;0,0169;0,0045;0,266;0,0468
45_IC_OP_M;45;OP;PERO;M;10;Oil Palm;0,0153;0,0056;0,366;0,0582
45_IC_OP_M;45;OP;PERO;M;10;Oil Palm;0,02;0,0064;0,320;0,0665
45_IC_OP_M;45;OP;PERO;M;10;Oil Palm;0,0242;0,0086;0,355;0,0894
45_IC_OP_M;45;OP;PERO;M;10;Oil Palm;0,029;0,0101;0,348;0,1050
45_IC_OP_M;45;OP;PERO;M;10;Oil Palm;0,0352;0,0113;0,321;0,1174
45_IC_OP_M;45;OP;PERO;M;10;Oil Palm;0,1225;0,0228;0,186;0,2370
45_IC_OP_M;45;OP;PERO;M;10;Tree;0;0;;0,0000
45_IC_OP_M;45;OP;PERO;M;10;Tree;0;0;;0,0000
45_IC_OP_M;45;OP;PERO;M;10;Tree;0;0;;0,0000
45_IC_OP_M;45;OP;PERO;M;10;Tree;0;0;;0,0000
45_IC_OP_M;45;OP;PERO;M;10;Tree;0;0;;0,0000
45_IC_OP_M;45;OP;PERO;M;10;Tree;0;0;;0,0000
45_IC_OP_M;45;OP;PERO;M;10;Tree;0,0013;0,0004;0,308;0,0042
45_IC_OP_M;45;OP;PERO;M;10;Tree;0,002;0,001;0,500;0,0104
45_IC_OP_M;45;OP;PERO;M;10;Tree;0,0037;0,0013;0,351;0,0135
45_IC_OP_M;45;OP;PERO;M;10;Tree;0,1061;0,0213;0,201;0,2214
45_IC_OP_M;45;OP;PERO;M;10;Tree;0,1378;0,0265;0,192;0,2754
45_IC_OP_M;45;OP;PERO;M;10;Tree;0,3086;0,0779;0,252;0,8097
45_IC_OP_M;45;OP;PERO;M;30;Herba;0;0;;0,0000
45_IC_OP_M;45;OP;PERO;M;30;Herba;0;0;;0,0000
