ChargeNr;ProbeNr;Originalbez;Pflanzenteil;CN-Einwaage(mg);Ctotal(%);Ntotal(%);Ctotal(mmol/g);Ntotal(mmol/g);Ctotal(mg/g);Ntotal(mg/g);Corg/Norg(mol/mol);Corg/Norg(g/g);ICP-Einwaage(mg);ICP-ALBlind(mg/l);ICP-Al(mg/l);ICP-AlGehalt(µmol/gTM);ICP-AlGehalt(mg/gTM);ICP-CaBlind(mg/l);ICP-Ca(mg/l);ICP-CaGehalt(µmol/gTM);ICP-CaGehalt(mg/gTM);ICP-CuBlind(mg/l);ICP-Cu(mg/l);ICP-CuGehalt(µmol/gTM);ICP-CuGehalt(mg/gTM);ICP-FeBlind(mg/l);ICP-Fe(mg/l);ICP-FeGehalt(µmol/gTM);ICP-FeGehalt(mg/gTM);ICP-KBlind(mg/l);ICP-K(mg/l);ICP-KGehalt(µmol/gTM);ICP-KGehalt(mg/gTM);ICP-MgBlind(mg/l);ICP-Mg(mg/l);ICP-MgGehalt(µmol/gTM);ICP-MgGehalt(mg/gTM);ICP-MnBlind(mg/l);ICP-Mn(mg/l);ICP-MnGehalt(µmol/gTM);ICP-MnGehalt(mg/gTM);ICP-NaBlind(mg/l);ICP-Na(mg/l);ICP-NaGehalt(µmol/gTM);ICP-NaGehalt(mg/gTM);ICP-PBlind(mg/l);ICP-P(mg/l);ICP-PGehalt(µmol/gTM);ICP-PGehalt(mg/gTM);ICP-ZnBlind(mg/l);ICP-Zn(mg/l);ICP-ZnGehalt(µmol/gTM);ICP-ZnGehalt(mg/gTM);ICP-SBlind(mg/l);ICP-S(mg/l);ICP-SGehalt(µmol/gTM);ICP-SGehalt(mg/gTM);ICP-BaBlind(mg/l);ICP-Ba(mg/l);ICP-BaGehalt(µmol/gTM);ICP-BaGehalt(mg/gTM);ICP-PbBlind(mg/l);ICP-Pb(mg/l);ICP-PbGehalt(µmol/gTM);ICP-PbGehalt(mg/gTM);ICP-SrBlind(mg/l);ICP-Sr(mg/l);ICP-SrGehalt(µmol/gTM);ICP-SrGehalt(mg/gTM);ICP-LiBlind(mg/l);ICP-Li(mg/l);ICP-LiGehalt(µmol/gTM);ICP-LiGehalt(mg/gTM);ICP-BBlind(mg/l);ICP-B(mg/l);ICP-BGehalt(µmol/gTM);ICP-BGehalt(mg/gTM);ICP-CdBlind(mg/l);ICP-Cd(mg/l);ICP-CdGehalt(µmol/gTM);ICP-CdGehalt(mg/gTM);ICP-NiBlind(mg/l);ICP-Ni(mg/l);ICP-NiGehalt(µmol/gTM);ICP-NiGehalt(mg/gTM);ICP-CrBlind(mg/l);ICP-Cr(mg/l);ICP-CrGehalt(µmol/gTM);ICP-CrGehalt(mg/gTM);ICP-SiBlind(mg/l);ICP-Si(mg/l);ICP-SiGehalt(µmol/gTM);ICP-SiGehalt(mg/gTM);ICP-SbBlind(mg/l);ICP-Sb(mg/l);ICP-SbGehalt(µmol/gTM);ICP-SbGehalt(mg/gTM)
595;595084;23_SRI_7063_tr_O;;4,271;43,64296;0,84478;36,36610282;0,603112729;436,4296;8,4478;60,29735579;51,66192381;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595085;35_SRI_7117_tr_O;;4,254;41,732864;0,817871;34,77448879;0,583901621;417,32864;8,17871;59,55539009;51,02621807;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595086;35_SRI_7120_tr_O;;4,532;45,851078;0,763179;38,20604783;0,544855429;458,51078;7,63179;70,12144097;60,0790614;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595087;45_SRI_7148_tr_O;;4,439;42,560192;0,768615;35,46387134;0,548736346;425,60192;7,68615;64,62825289;55,37257535;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595088;45_SRI_7149_tr_O;;4,092;36,350895;0,845957;30,28988834;0,603953023;363,50895;8,45957;50,15272242;42,97014505;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595089;45_SRI_7154_tr_O;;4,139;44,402367;0,903555;36,99888926;0,645073892;444,02367;9,03555;57,35604826;49,14185301;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595090;45_SRI_7158_tr_;;4,249;45,100239;0,802985;37,5804008;0,573274077;451,00239;8,02985;65,55398594;56,16573037;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595091;45_SRI_7159_tr_;;4,168;41,887596;0,897971;34,90342138;0,641087313;418,87596;8,97971;54,44409934;46,64693626;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595092;45_SRI_7161_tr_;;4,404;47,078873;0,702925;39,22912507;0,501838367;470,78873;7,02925;78,17083685;66,97567024;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595093;49_SRI_7187_tr_O;;4,234;46,539482;0,787159;38,77967003;0,561975441;465,39482;7,87159;69,00598711;59,12335627;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
