tag_id;plot;system;root_type;species;Length(cm);SurfArea(cm2);AvgDiamWeight(mm);AvgDiam(mm);RootVolume(cm3);Tips;Forks;Crossings;wet_weight_g;dry_weight_g;RTD;SRL;SRA;water_cont;ratio_abs_tra;tips_lenghts
7001;1;PO;ab;O;159,8374;27,9806;0,5572;0,5572;0,39;536;667;52;0,433;0,1246;0,319;12,828;224,5634;71,224;1,306079665;3,353407901
4705;45;PERO;ab;PER;49,1665;6,544;0,4237;0,4237;0,069;92;105;5;0,1162;0,0367;0,532;13,397;178,3106;68,417;0,136228656;1,871192784
7196;49;SO;ab;O;149,7489;32,8457;0,6982;0,6982;0,573;404;421;21;0,6514;0,107;0,187;13,995;306,9692;83,574;0,819923372;2,697849533
7003;1;PO;ab;O;170,8552;26,6811;0,4971;0,4971;0,332;661;597;56;0,4067;0,1183;0,356;14,443;225,5376;70,912;0,428623188;3,86877309
5920;49;SO;ab;SHO;22,5925;2,9134;0,4105;0,4105;0,03;65;54;5;0,0401;0,0153;0,510;14,766;190,4183;61,845;0,081556503;2,877060972
7011;1;PO;ab;O;213,3874;32,3471;0,48251447;0,4677;0,391;597;653;62;0,5404;0,1379;0,353;15,474;234,5693;74,482;3,330917874;2,797728451
7063;23;MIX;ab;O;100,6196;17,3141;0,5477;0,5477;0,237;248;252;15;0,2429;0,0635;0,268;15,846;272,6630;73,858;0,801767677;2,464728542
7005;1;PO;ab;O;419,8966;65,376;0,495620193;0,488333333;0,812;1286;1579;96;0,7753;0,2617;0,322;16,045;249,8128;66,245;1,498854525;3,062658759
7053;23;MIX;ab;O;229,5115;39,3495;0,5457;0,5457;0,537;678;656;77;0,4824;0,141;0,263;16,277;279,0745;70,771;1,202046036;2,954100339
7217;55;CTRL;ab;O;59,7806;8,4149;0,448105812;0,43945;0,094;229;156;7;0,0784;0,0357;0,380;16,745;235,7115;54,464;0,37033195;3,830674165
5718;49;SO;ab;SHO;151,0212;18,6749;0,3936;0,3936;0,184;392;719;66;0,2107;0,09;0,489;16,780;207,4989;57,285;0,269461078;2,595662066
7006;1;PO;ab;O;188,1138;35,2645;0,596744474;0,5902;0,527;461;508;39;0,6067;0,1093;0,207;17,211;322,6395;81,985;0,984684685;2,450644238
MT_55;;CTRL;ab;O;144,0984;20,9606;0,463015491;1,379;0,243;544;512;25;0,2638;0,0793;0,326;18,171;264,3203;69,939;0,290051207;3,775198059
7047;17;SO;ab;O;367,1483;64,8527;0,562240234;0,5621;0,913;1075;1227;136;1,3302;0,1937;0,212;18,954;334,8100;85,438;2,921568627;2,927972157
7051;23;MIX;ab;O;107,3054;16,0099;0,4749;0,4749;0,19;438;369;41;0,2525;0,055;0,289;19,510;291,0891;78,218;0,340557276;4,081807626
4785;45;PERO;ab;PER;243,4617;30,9071;0,404090971;0,4136;0,315;547;1064;143;0,3974;0,1085;0,344;22,439;284,8581;72,698;0,438561035;2,246759963
7055;23;MIX;ab;O;290,7182;41,5239;0,492789855;0,45855;0,479;928;861;58;0,1948;0,1269;0,265;22,909;327,2175;34,856;0,862092391;3,192094613
4697;45;PERO;ab;PAR;556,0003;63,6062;0,364156876;0,36285;0,58;1494;4376;963;0,832;0,2007;0,346;27,703;316,9218;75,877;0,292778993;2,68704891
4947;45;PERO;ab;PAR;31,1623;3,5989;0,3676;0,3676;0,033;141;99;7;0,0325;0,0108;0,327;28,854;333,2315;66,769;0,06835443;4,524698113
1896;17;SO;ab;SHO;363,9112;32,6254;0,285407499;0,28415;0,232;755;1172;145;0,2989;0,118;0,509;30,840;276,4864;60,522;0,454020777;2,074681955
2204;23;MIX;ab;ARC;390,0107;40,2873;0,328804781;0,3244;0,333;732;1047;122;0,4147;0,1153;0,346;33,826;349,4128;72,197;0,432970334;1,876871583
2231;23;MIX;ab;PAR;149,2867;15,2399;0,324953472;0,2944;0,127;390;529;71;0,1707;0,0422;0,332;35,376;361,1351;75,278;0,484500574;2,612422942
1919;17;SO;ab;SHO;624,175;68,7431;0,35058561;0,35045;0,602;1046;1140;138;0,8015;0,1754;0,291;35,586;391,9219;78,116;0,547782636;1,675812072
2288;23;MIX;ab;ARC;728,4555;83,1367;0,363277033;0,36135;0,758;1015;1705;287;0,9088;0,1992;0,263;36,569;417,3529;78,081;0,354322305;1,393358963
193;1;PO;ab;PAR;441,0321;48,7672;0,3519679;0,34765;0,43;807;1374;174;0,5011;0,1121;0,261;39,343;435,0330;77,629;1,68065967;1,829798783
5891;49;SO;ab;SHO;595,8619;56,1773;0,300130761;0,3004;0,424;1814;2912;483;0,4383;0,1451;0,342;41,066;387,1626;66,895;0,402161863;3,044329567
2432;23;MIX;ab;PAR;197,808;19,5925;0,315254727;0,28285;0,159;636;822;96;0,2012;0,0442;0,278;44,753;443,2692;78,032;0,266586248;3,21523902
429;1;PO;ab;PAR;293,5816;29,4245;0,31901781;0,308233333;0,237;576;896;135;0,2705;0,0573;0,242;51,236;513,5166;78,817;0,177839851;1,961975819
2458;23;MIX;ab;ARC;202,5768;17,3246;0,272242932;0,2813;0,119;336;490;80;0,1627;0,0382;0,321;53,031;453,5236;76,521;0,186432406;1,658630208
4651;45;PERO;ab;PER;709,3281;62,8495;0,282054349;0,2825;0,444;1376;3113;718;0,5976;0,1203;0,271;58,963;522,4397;79,869;0,335845896;1,939863936
352;1;PO;ab;PAR;478,197;34,0704;0,226788047;0,2271;0,194;1433;2118;311;0,2958;0,0721;0,372;66,324;472,5437;75,625;0,467574578;2,996672919
MT.Tube2;;;ab;SHO;205,7433;17,8501;0,2762;0,2762;0,123;458;679;98;;;;;;;;2,22607492
MT.Tube2;;;tr;SHO;74,0635;16,1214;0,6929;0,6929;0,279;129;205;8;;;;;;;;1,741748635
